type,setup,punchline,id
general,Why did the A go to the bathroom and come out as an E?,Because he had a vowel movement.,314
general,What do you call a laughing motorcycle?,A Yamahahahaha.,20
general,What did the ocean say to the shore?,"Nothing, it just waved.",179
general,What do you get when you cross a snowman with a vampire?,Frostbite.,232
programming,Why did the programmer always carry a pencil?,They preferred to write in C#.,448
general,What did the fish say when it swam into a wall?,Damn!,172
general,Is the pool safe for diving?,It deep ends.,146
general,How do locomotives know where they're going?,Lots of training,119
general,What did the fish say when it hit the wall?,Dam.,1
programming,Why did the programmer bring a ladder to work?,They heard the code needed to be debugged from a higher level.,441
